Year,Artist,Song,CompressedRatio
2013,blake shelton featuring pistol annies and friends,boys round here,68.127
1993,prince and the new power generation,7,68.129
1993,shai,baby im yours,68.132
1995,faith evans,you used to love me,68.132
2007,baby boy da prince,the way i live,68.153
2003,r kelly,thoia thoing,68.157
1991,rod stewart,the motown song,68.158
1972,bill withers,lean on me,68.165
2013,maroon 5,daylight,68.168
1983,thomas dolby,she blinded me with science,68.182
1988,inxs,devil inside,68.182
1991,cathy dennis,touch me all night long,68.182
1994,r kelly,your bodys callin,68.182
2011,lmfao,sexy and i know it,68.195
2012,lmfao,sexy and i know it,68.195
1983,phil collins,you cant hurry love,68.196
1992,richard marx,keep coming back,68.196
2013,wale featuring tiara thomas,bad,68.196
1974,the hues corporation,rock the boat,68.199
1999,fastball,out of my head,68.201
1968,cream,sunshine of your love,68.208
2006,ciara featuring chamillionaire,get up,68.211
2003,b2k and p diddy,bump bump bump,68.217
1979,randy vanwarmer,just when i needed you most,68.224
1979,mcfadden  whitehead,aint no stoppin us now,68.227
2007,daughtry,home,68.227
2006,chingy featuring tyrese,pullin me back,68.252
2007,timbaland featuring keri hilson,the way i are,68.258
2008,timbaland featuring keri hilson,the way i are,68.258
1973,roberta flack,killing me softly with his song,68.273
1983,kajagoogoo,too shy,68.276
2010,trey songz featuring fabolous,say aah,68.285
2011,onerepublic,good life,68.287
2006,ti,what you know,68.289
1976,barry manilow,tryin to get the feeling again,68.293
2006,pink,stupid girls,68.293
2003,nelly featuring st lunatics,air force ones,68.295
1980,linda ronstadt,how do i make you,68.306
1976,the sylvers,boogie fever,68.31
1988,billy ocean,get outta my dreams get into my car,68.31
1980,dionne warwick,dej`a vu,68.313
1976,seals and crofts,get closer,68.321
1984,sheila e,the glamorous life,68.325
1985,kool  the gang,misled,68.325
1999,goo goo dolls,iris,68.333
2007,pretty ricky,on the hotline,68.339
1997,en vogue,dont let go love,68.373
1988,taylor dayne,tell it to my heart,68.385
2006,pussycat dolls,stickwitu,68.391
1991,whitney houston,all the man that i need,68.396
1989,safire,thinking of you,68.401
1990,janet jackson,alright,68.401
2005,chris brown featuring juelz santana,run it,68.404
2006,chris brown featuring juelz santana,run it,68.404
2002,jaheim featuring next,anything,68.407
1972,neil young,heart of gold,68.421
1982,the human league,dont you want me,68.421
2008,miley cyrus,see you again,68.437
1999,sugar ray,every morning,68.439
1998,shania twain,youre still the one,68.441
1981,diana ross,im coming out,68.443
1976,the who,squeeze box,68.449
1998,marcy playground,sex and candy,68.449
1973,elton john,crocodile rock,68.451
1997,montell jordan,whats on tonight,68.451
2012,wiz khalifa,work hard play hard,68.455
1971,gladys knight  the pips,if i were your woman,68.456
1984,huey lewis and the news,if this is it,68.459
2007,justin timberlake,summer love,68.467
1970,the delfonics,didnt i blow your mind this time,68.468
1970,creedence clearwater revival,travelin band,68.468
1985,tina turner,better be good to me,68.471
1971,the doors,love her madly,68.485
2014,magic,rude,68.496
2008,flo rida featuring tpain,low,68.499
1989,rod stewart,my heart cant tell you no,68.502
2013,ciara,body party,68.502
1973,edward bear,last song,68.504
2004,linkin park,numb,68.512
2006,nickelback,far away,68.512
2007,nickelback,far away,68.512
1985,foreigner,i want to know what love is,68.519
1991,george michael,freedom 90,68.525
2004,twista,overnight celebrity,68.525
2015,jidenna featuring roman gianarthur,classic man,68.526
1991,hifive,i like the way the kissing game,68.531
1985,wham,freedom,68.536
2015,sam hunt,house party,68.546
2001,nelly featuring city spud,ride wit me,68.549
1966,lovin spoonful,summer in the city,68.551
1986,eddie money,take me home tonight,68.553
1989,bobby brown,on our own,68.559
1976,david ruffin,walk away from love,68.562
2006,chamillionaire featuring krayzie bone,ridin,68.563
2007,lloyd,get it shawty,68.564
1978,earth wind  fire,serpentine fire,68.571
2015,shawn mendes,stitches,68.579
2000,sisqo,incomplete,68.585
2010,sean kingston and justin bieber,eenie meenie,68.586
2006,young dro featuring ti,shoulder lean,68.588
1994,domino,getto jam,68.589
1976,wild cherry,play that funky music,68.591
1990,tommy page,ill be your everything,68.598
2015,nick jonas,jealous,68.598
2015,dj snake and alunageorge,you know you like it,68.601
1970,freda payne,band of gold,68.627
1986,falco,rock me amadeus,68.632
1999,n sync,god must have spent a little more time on you,68.633
2000,enrique iglesias,be with you,68.635
1969,the watts 103rd street rhythm band,do your thing,68.644
1988,debbie gibson,out of the blue,68.651
2001,trick daddy,im a thug,68.671
1984,paul mccartney and michael jackson,say say say,68.687
1995,better than ezra,good,68.692
2007,maroon 5,makes me wonder,68.698
2005,lifehouse,you and me,68.699
2006,lifehouse,you and me,68.699
2002,usher,u got it bad,68.709
1971,aretha franklin,bridge over troubled water,68.712
2005,pretty ricky,grind with me,68.712
2012,karmin,brokenhearted,68.712
2009,akon featuring colby odonis and kardinal offishall,beautiful,68.715
2008,kanye west,love lockdown,68.718
2009,kanye west,love lockdown,68.718
2009,miley cyrus,party in the usa,68.72
2010,miley cyrus,party in the usa,68.72
2006,dem franchize boyz,lean wit it rock wit it,68.723
1972,michael jackson,rockin robin,68.724
2002,creed,one last breath,68.726
1983,michael jackson,human nature,68.729
2008,alicia keys,like youll never see me again,68.73
1980,tom petty and the heartbreakers,dont do me like that,68.731
1988,peter cetera,one good woman,68.75
2000,celine dion,thats the way it is,68.75
2001,blu cantrell,hit em up style oops,68.75
2002,default,wasting my time,68.75
2012,ellie goulding,lights,68.75
2004,twista featuring kanye west and jamie foxx,slow jamz,68.758
2014,nicki minaj,anaconda,68.761
2002,n sync,gone,68.765
2004,the black eyed peas,lets get it started,68.773
1966,tommy roe,sweet pea,68.775
1993,go west,faithful,68.79
1969,jackie deshannon,put a little love in your heart,68.8
2006,kt tunstall,black horse and the cherry tree,68.802
2001,s club 7,never had a dream come true,68.805
2015,vance joy,riptide,68.805
1969,the box tops,soul deep,68.807
1990,billy idol,cradle of love,68.807
1995,martin page,in the house of stone and light,68.812
2003,amanda perez,angel,68.817
2015,nicky jam and enrique iglesias,el perdon,68.817
2015,usher featuring juicy j,i dont mind,68.825
1976,earth wind  fire,sing a song,68.831
2005,usher,caught up,68.831
1996,whitney houston featuring cece winans,count on me,68.836
1997,r kelly,gotham city,68.836
1982,olivia newtonjohn,physical,68.846
1976,donny  marie osmond,deep purple,68.852
2011,britney spears,i wanna go,68.86
1966,petula clark,my love,68.864
1980,the spinners,working my way back to youforgive me girl,68.865
1980,pat benatar,heartbreaker,68.868
1991,cc music factory,things that make you go hmmm,68.874
1974,the spinners,mighty love,68.88
1984,cyndi lauper,she bop,68.881
1988,belinda carlisle,i get weak,68.896
1995,stevie b,dream about you,68.898
1992,the klf,justified and ancient,68.919
1970,charles wright  the watts 103rd street rhythm band,love land,68.924
1977,foreigner,cold as ice,68.927
2003,thal'ia featuring fat joe,i want you,68.928
1997,luscious jackson,naked eye,68.935
2010,rihanna featuring jeezy,hard,68.935
1993,madonna,rain,68.941
1986,huey lewis and the news,stuck with you,68.953
2002,michael jackson,butterflies,68.954
1976,fleetwood mac,rhiannon,68.966
2001,lifehouse,hanging by a moment,68.966
1988,rick astley,together forever,68.978
1978,eruption,i cant stand the rain,68.981
1989,tears for fears,sowing the seeds of love,68.986
1988,cheap trick,dont be cruel,68.992
1981,smokey robinson,being with you,69
1998,five,when the lights go out,69.008
1994,big mountain,baby i love your way,69.01
1986,anita baker,sweet love,69.014
1981,joey scarbury,theme from the greatest american hero believe it or not,69.027
1993,htown,knockin da boots,69.034
1989,bobby brown,my prerogative,69.038
2008,3 doors down,its not my time,69.04
1998,luke featuring no good but so good,raise the roof,69.055
1995,after 7,til you do me right,69.065
2006,daniel powter,bad day,69.067
2007,fabolous featuring neyo,make me better,69.077
2003,monica,so gone,69.082
2004,jet,are you gonna be my girl,69.084
1976,the beach boys,rock and roll music,69.085
2010,mike posner,cooler than me,69.091
2013,flo rida,i cry,69.094
1976,dr hook,only sixteen,69.11
1972,aretha franklin,day dreaming,69.118
2009,the fray,never say never,69.124
1997,various artists,the jock jam,69.13
1993,mariah carey,dreamlover,69.141
1992,kws,please dont go,69.149
1970,the spinners,its a shame,69.153
2012,demi lovato,give your heart a break,69.175
1993,gin blossoms,hey jealousy,69.182
2010,taio cruz featuring ludacris,break your heart,69.194
2007,pink,u  ur hand,69.195
2015,the weeknd,the hills,69.199
2008,jordin sparks,one step at a time,69.21
2000,mystikal,shake ya ass,69.212
1979,ace frehley,new york groove,69.231
1984,duran duran,new moon on monday,69.231
2002,nelly,hot in herre,69.242
2006,christina aguilera,aint no other man,69.248
2011,lmfao featuring lauren bennett and goonrock,party rock anthem,69.249
2012,lmfao featuring lauren bennett and goonrock,party rock anthem,69.249
2010,taylor swift,today was a fairytale,69.254
1984,laura branigan,self control,69.255
1988,the beach boys,kokomo,69.255
2009,john legend featuring andre 3000,green light,69.256
2004,ying yang twins featuring lil jon  the east side boyz,salt shaker,69.279
2006,field mob featuring ciara,so what,69.289
1991,the escape club,ill be there,69.291
1996,joan osborne,one of us,69.291
1982,paul mccartney,take it away,69.295
1973,bette midler,do you wanna dance,69.298
1980,the pretenders,brass in pocket,69.298
2000,samantha mumba,gotta tell you,69.298
1987,genesis,tonight tonight tonight,69.318
1990,phil collins,i wish it would rain down,69.318
1973,the temptations,papa was a rollin stone,69.343
1994,michael bolton,said i loved youbut i lied,69.343
1968,the box tops,cry like a baby,69.347
2008,mia,paper planes,69.351
2005,omarion,o,69.355
2015,major lazer and dj snake featuring mo,lean on,69.355
1972,rick springfield,speak to the sky,69.362
1999,whitney houston,its not right but its okay,69.365
1997,dj kool,let me clear my throat,69.371
2010,nicki minaj,your love,69.373
2005,foo fighters,best of you,69.375
2003,beyonce featuring sean paul,baby boy,69.381
2004,beyonce featuring sean paul,baby boy,69.381
2002,brandy,full moon,69.383
1968,the rolling stones,jumpin jack flash,69.388
1988,belinda carlisle,heaven is a place on earth,69.388
2011,hot chelle rae,tonight tonight,69.393
1978,santa esmeralda,dont let me be misunderstood,69.394
1976,sweet,fox on the run,69.399
1980,air supply,all out of love,69.405
2000,everclear,wonderful,69.406
2011,enrique iglesias featuring ludacris and dj frank e,tonight im lovin you,69.421
1966,the beatles,yellow submarine,69.432
1994,eternal,stay,69.444
1995,michael jackson,you are not alone,69.444
1995,take that,back for good,69.444
1996,take that,back for good,69.444
2012,adele,rumour has it,69.452
1972,elton john,rocket man,69.453
1994,madonna,secret,69.455
1995,madonna,secret,69.455
2006,ludacris featuring pharrell,money maker,69.468
2007,ludacris featuring pharrell,money maker,69.468
1968,donovan,hurdy gurdy man,69.474
2011,the script,for the first time,69.479
2008,wyclef jean featuring akon lil wayne and niia,sweetest girl dollar bill,69.48
2000,n sync,its gonna be me,69.481
2015,pitbull and neyo,time of our lives,69.481
1989,chicago,look away,69.482
2011,pink,raise your glass,69.487
1972,daniel boone,beautiful sunday,69.492
1983,asia,dont cry,69.512
2009,fabolous featuring thedream,throw it in the bag,69.518
1981,andy gibb,time is time,69.524
1977,thelma houston,dont leave me this way,69.528
1986,the cars,tonight she comes,69.528
1975,freddy fender,wasted days and wasted nights,69.536
2001,brooks  dunn,aint nothing bout you,69.538
1995,tlc,creep,69.54
1970,the jackson 5,the love you save,69.544
1965,mel carter,hold me thrill me kiss me,69.547
1980,kool  the gang,too hot,69.549
2013,kendrick lamar,swimming pools drank,69.55
2006,the fray,how to save a life,69.554
2007,the fray,how to save a life,69.554
2010,onerepublic,all the right moves,69.555
1971,wadsworth mansion,sweet mary,69.565
1978,electric light orchestra,sweet talkin woman,69.565
2001,missy elliott featuring ludacris,one minute man,69.565
2010,shontelle,impossible,69.565
1972,yes,roundabout,69.575
1992,mr big,to be with you,69.58
2006,beyonce featuring slim thug,check on it,69.59
1994,boyz ii men,ill make love to you,69.595
1995,boyz ii men,ill make love to you,69.595
1972,badfinger,day after day,69.6
1968,the miracles,if you can want,69.604
2009,lady antebellum,i run to you,69.604
1971,the osmonds,one bad apple,69.608
1972,al green,im still in love with you,69.608
1967,the box tops,the letter,69.613
1995,brownstone,if you love me,69.617
1979,andy gibb,our love dont throw it all away,69.624
2005,ti,u dont know me,69.634
2008,jordin sparks,tattoo,69.635
2006,yung joc,i know you see it,69.643
2004,nelly featuring jaheim,my place,69.646
2014,shakira featuring rihanna,cant remember to forget you,69.648
1985,bryan adams,run to you,69.663
2000,bbmak,back here,69.663
2008,j holiday,suffocate,69.663
1982,paul davis,cool night,69.685
1990,phil collins,another day in paradise,69.686
2011,maroon 5 featuring christina aguilera,moves like jagger,69.697
2012,maroon 5 featuring christina aguilera,moves like jagger,69.697
2008,keyshia cole,i remember,69.707
2004,monica,u shouldve known better,69.712
1987,prince,u got the look,69.714
2007,timbaland featuring nelly furtado and justin timberlake,give it to me,69.717
1993,shanice,saving forever for you,69.718
2009,kristinia debarge,goodbye,69.722
2012,phillip phillips,home,69.725
2013,phillip phillips,home,69.725
2014,tinashe featuring schoolboy q,2 on,69.73
2002,b2k,uh huh,69.735
1983,michael jackson,billie jean,69.737
2000,alice deejay,better off alone,69.767
2007,neyo,because of you,69.774
1981,commodores,lady you bring me up,69.775
1996,everything but the girl,missing,69.775
1991,black box,strike it up,69.805
1977,elton john,sorry seems to be the hardest word,69.811
1983,the tubes,shes a beauty,69.811
1986,janet jackson,when i think of you,69.811
